,COUNTYNAME,Started,Extinguished,Location,Latitude,Longitude,Name,AcresBurned,MajorIncident,pcp,tmax,tmin,YEAR,MONTH_NUM
384,Del Norte,2016-09-13T13:55:00Z,2016-09-17T18:00:00Z,"off Old Yosemite Rd, 8 miles east of Greeley Hill",37.75972,-120.029626,Old Fire,150.0,False,0.06,74.5,49.0,2016.0,9.0
385,Orange,2016-08-31T04:10:00Z,2016-09-05T06:55:00Z,off Trabuco Creek Rd near Holy Jim Trail,33.6542,-117.5221,Holy Fire,150.0,False,0.0,85.0,63.8,2016.0,8.0
386,San Luis Obispo,2016-05-10T16:11:00Z,2016-05-10T18:45:00Z,Wood Canyon Rd & Hwy 41,35.61961,-120.39993,Shedd Fire,150.0,False,0.18,74.8,48.0,2016.0,5.0
387,San Joaquin,2016-08-20T08:35:00Z,2016-08-20T18:45:00Z,"off of Bird Rd & I-580, south of Tracy",37.62215,-121.36665,Bird Fire,147.0,False,0.0,92.4,57.9,2016.0,8.0
388,Fresno,2016-07-04T17:15:00Z,2016-07-07T19:00:00Z,"Hwy 198 and Frame Ln, 14 miles west of Coalinga",36.14161,-120.62048,Frame Fire,145.0,False,0.0,90.2,58.9,2016.0,7.0
389,Riverside,2016-06-04T11:40:00Z,2016-06-07T18:15:00Z,Off I-15 south of Temecula Parkway,33.476894,-117.140883,Temecula Fire,139.0,True,0.0,99.7,70.5,2016.0,6.0
390,Kern,2016-07-15T23:55:00Z,2016-07-16T07:40:00Z,"off Granite Rd & Famoso Rd, 15 miles east of Famoso",35.60748,-118.94811,Famoso Fire,138.0,False,0.0,96.9,66.7,2016.0,7.0
391,Fresno,2016-05-15T16:38:00Z,2016-05-17T19:10:00Z,"Off Piedra Rd near Kings River, 10 miles northeast of Sanger",36.78769,-119.38248,Avocado Fire,132.0,False,0.64,72.3,46.7,2016.0,5.0
392,Butte,2016-09-22T11:45:00Z,2016-09-23T10:30:00Z,"off Oro-Bangor Highway & Swedes Flat, 7 miles SE of Oroville",39.4403,-121.42647,Bangor Fire,130.0,False,0.01,87.4,56.0,2016.0,9.0
393,Fresno,2016-07-15T16:45:00Z,2016-07-16T18:00:00Z,"off Auberry Rd & White Thorne Rd, near Prather",37.0099,-119.5792,Green Fire,123.0,True,0.0,90.2,58.9,2016.0,7.0
394,Stanislaus,2016-06-07T16:30:00Z,2016-06-09T17:10:00Z,"Henry W. Coe State Park, Del Puerto Canyon, 20 miles west of Gustine (Stanislaus Co.)",37.17072,-121.42238,Coe Fire,120.0,False,0.0,92.6,58.8,2016.0,6.0
395,Santa Clara,2016-07-30T17:25:00Z,2016-07-31T18:30:00Z,"Off Sierra Rd & Calaveras Rd, Spring Valley",37.41896,-121.79669,Sierra Fire,114.0,False,0.01,84.8,56.8,2016.0,7.0
396,Butte,2016-06-20T16:38:00Z,2016-06-20T19:50:00Z,"Off Coal Canyon Rd & Hwy 70, north of Oroville",39.595,-121.6008,Coal Fire,112.0,False,0.52,88.8,57.6,2016.0,6.0
397,Madera,2016-07-04T11:53:00Z,2016-07-06T20:00:00Z,"Hwy 41 and Hummingbird Ln, One mile east of Coarsgold",37.25601,-119.65776,Broken Fire,103.0,False,0.02,91.0,58.6,2016.0,7.0
398,Shasta,2016-09-25T07:15:00Z,2016-09-25T13:15:00Z,off Whitmore Road and Old Cow Creek Road,40.0,-121.93923,Cow Fire,100.0,False,0.01,84.5,51.7,2016.0,9.0
399,Kern,2016-08-04T17:10:00Z,2016-08-07T20:15:00Z,"off Hwy 58 and Hart Flat Rd, Tehachapi ",35.24504,-118.60344,Hart Fire,100.0,False,0.0,95.6,65.6,2016.0,8.0
400,Monterey,2016-07-22T15:15:00Z,2016-07-23T08:45:00Z,"off Highway 101 and San Antonio River, south of Bradley ",35.85093,-120.81081,Bradley Fire,100.0,False,0.0,86.7,52.8,2016.0,7.0
401,San Diego,2016-07-18T13:08:00Z,2016-07-20T13:45:00Z,"off of El Capitan Truck Trail, south of Ramona ",32.9612,-116.7945,Feather Fire,100.0,False,0.0,92.4,63.9,2016.0,7.0
402,San Benito,2016-07-09T12:43:00Z,2016-07-10T19:30:00Z,"off of New Idria Rd & Panoche Rd, south of Mercey Hot Springs ",5487.0,-120.841536,Mercury Fire,95.0,False,0.0,89.8,58.6,2016.0,7.0
403,Butte,2016-05-27T13:43:00Z,2016-05-27T17:00:00Z,"La Porte Road at Dunstone Road, west of Bangor ",39.33035,-121.78973,Dunstone Fire,91.0,False,0.99,78.2,52.0,2016.0,5.0
404,Butte,2016-08-26T15:30:00Z,2016-08-30T18:40:00Z,"off Hwy 32 at Santos Ranch Rd, south of Forest Ranch",39.79547,-121.71662,Santos Fire,88.0,True,0.0,92.5,59.9,2016.0,8.0
405,Tehama,2016-07-01T13:54:00Z,2016-07-01T17:45:00Z,"Interstate 5 & Flores Ave, 5 miles south of Red Bluff",40.07846,-122.2071,Flores Fire,88.0,False,0.01,91.7,61.9,2016.0,7.0
406,Placer,2016-06-21T12:24:00Z,2016-06-21T15:45:00Z,"off Moore Rd and South Dowd Rd, west of Lincoln",38.86804,-121.37704,Moore Fire,88.0,False,0.08,82.3,52.3,2016.0,6.0
407,Sacramento,2016-07-10T15:30:00Z,2016-07-11T06:35:00Z,"off of Scotts Road and Latrobe Road, Rancho Murrieta",38.517772,-121.103642,Scott Fire,87.0,False,0.0,95.2,60.2,2016.0,7.0
408,San Luis Obispo,2016-06-27T12:07:00Z,2016-06-29T17:00:00Z,off Nacimiento Lake Dr. and Frazier Rd.,35.70821,-120.82266,Frazier Fire,86.0,False,0.0,89.0,54.7,2016.0,6.0
409,Madera,2016-08-04T14:13:00Z,2016-08-06T19:50:00Z,"off of Grub Gulch Road and Acton Grade Road, west of Oakhurst",37.3228,-119.7738,Grub Fire,85.0,False,0.01,89.9,57.8,2016.0,8.0
410,Tuolumne,2016-05-30T15:10:00Z,2016-06-01T19:45:00Z,"off New Peoria Flat Road and Old Melones Road, west of Sonora",37.927613,-120.528836,Tulloch Fire,85.0,True,1.43,64.1,40.3,2016.0,5.0
411,Yolo,2016-07-15T14:00:00Z,2016-07-15T15:40:00Z,"off County Road 86 & County Road 6, west of Dunnigan",38.8866,-122.04726,Dunnigan Fire,84.0,False,0.0,95.2,59.7,2016.0,7.0
412,San Benito,2016-06-12T12:45:00Z,2016-06-12T15:45:00Z,"off Old Hernandez Road, five miles east of Pinnacles National Park",36.49914,-121.04993,Old Fire,83.0,False,0.0,87.7,56.4,2016.0,6.0
413,Tehama,2016-08-03T17:27:00Z,2016-08-04T07:50:00Z,"Off Baker Rd & Plymire Rd, 2 miles NW of Red Bluff",40.19611,-122.26736,Baker Fire,80.0,False,0.0,92.7,61.3,2016.0,8.0
414,Tehama,2016-06-11T14:30:00Z,2016-06-11T16:15:00Z,"off Corning Road and Gaylord Avenue, east of Corning",39.7947,-121.857,Hoag Fire,80.0,False,1.21,86.9,58.6,2016.0,6.0
415,Ventura,2016-07-13T15:52:00Z,2016-07-15T14:00:00Z,"near Lake Sherwood, southwest of Thousand Oaks",36.92244,-119.39619,Sherwood Fire,78.0,False,0.0,86.0,57.3,2016.0,7.0
416,Shasta,2016-09-10T15:45:00Z,2016-09-12T19:00:00Z,"off of Lake Blvd south of Shasta Dam Blvd, Shasta Lake City",40.68192,-122.4096,Lake Fire,75.0,False,0.01,84.5,51.7,2016.0,9.0
417,Fresno,2016-09-23T12:40:00Z,2016-09-24T20:00:00Z,"off Newmark Ave. and Fantz Ave., 3 miles southeast of Sanger",36.6543,-119.5327,Newmark Fire,70.0,False,0.07,82.0,51.3,2016.0,9.0
418,Monterey,2016-06-18T16:47:00Z,2016-06-20T18:15:00Z,"Arroyo Seco Rd &  Elm Ave, E of Greenfield",36.2833,-121.3306,Arroyo Fire,70.0,False,0.01,86.2,51.6,2016.0,6.0
419,San Diego,2016-05-31T13:48:00Z,2016-06-07T06:45:00Z,"in the 38000 block of Pala Temecula Road, Temecula",33.41639,-117.08829,Pala Fire,70.0,True,0.5,74.1,51.0,2016.0,5.0
420,Lake,2016-07-19T17:16:00Z,2016-07-22T18:15:00Z,"off Foothill Drive, community of Lucerne",39.0863,-122.7891,Foothill Fire,69.0,True,0.0,89.1,58.5,2016.0,7.0
421,Napa,2016-10-10T16:13:00Z,2016-10-12T18:00:00Z,Dry Creek Road 3 miles west of Yountville,38.40958,-122.43172,Creek Fire,65.0,True,5.39,71.0,49.9,2016.0,10.0
422,Kern,2016-06-11T15:04:00Z,2016-06-12T12:30:00Z,"off Highway 41, one mile east of the county line",35.77135,-120.251,Cotton Fire,61.0,False,0.0,93.6,64.2,2016.0,6.0
423,Solano,2016-07-22T13:01:00Z,2016-07-22T16:07:00Z,"off Cherry Glen Rd and Oak Canyon Ln, south of Vacaville ",38.33475,-122.02564,Oak Fire,57.0,False,0.0,90.0,57.0,2016.0,7.0
424,Calaveras,2016-07-21T15:06:00Z,2016-07-22T19:00:00Z,off Baker St & School St near Copperopolis ,37.98171,-120.64241,Baker Fire,57.0,True,0.0,92.3,59.5,2016.0,7.0
425,Monterey,2016-06-23T17:57:00Z,2016-06-24T18:20:00Z,East of King City,36.1934,-120.9293,Lowe Fire,52.0,False,0.01,86.2,51.6,2016.0,6.0
426,Mendocino,2016-09-10T14:06:00Z,2016-09-15T09:10:00Z,"off of Hwy 101 and Woodruff Rd, north of Laytonville",39.7299,-123.5044,Ruff Fire ,50.0,False,0.02,80.3,50.7,2016.0,9.0
427,San Bernardino,2016-09-07T16:53:00Z,2016-09-09T06:00:00Z,"off of Hwy 138 & Los Flores Rd, south of Hesperia",34.3183,-117.3189,Spring Fire,50.0,False,0.18,90.4,64.3,2016.0,9.0
428,El Dorado,2016-07-22T13:15:00Z,2016-07-23T18:00:00Z,off Storksbill Rd in Pilot Hill ,38.79549,-121.00299,Storksbill Fire,50.0,True,0.0,86.5,57.2,2016.0,7.0
429,Butte,2016-06-21T15:09:00Z,2016-06-21T16:30:00Z,off Highway 70 at Palermo Rd.,39.43351,-121.6051,70 Fire,49.0,False,0.52,88.8,57.6,2016.0,6.0
430,Nevada,2016-09-17T13:40:00Z,2016-09-20T18:00:00Z,"Off South Auburn Street and Whiting Street, Grass Valley",39.20427,-121.05948,Auburn Fire,47.0,False,0.04,78.9,48.6,2016.0,9.0
431,Orange,2016-06-26T13:10:00Z,2016-06-29T18:30:00Z,"n Laguna Coast Wilderness Park, 2½ miles northeast of Laguna Beach",33.57872,-117.77395,Laguna Fire,47.0,False,0.02,81.5,61.2,2016.0,6.0
432,Amador,2016-09-23T13:12:00Z,2016-09-25T17:45:00Z,"off Hwy 49 and Bell Road, 4 miles north of Plymouth ",38.5212,-120.8416,Bell Fire,45.0,True,0.05,84.5,53.9,2016.0,9.0
433,Lake,2016-08-09T17:30:00Z,2016-08-10T17:00:00Z,"off of Kugelman St and Hwy 53, community of Lower Lake",36.09974,-120.51057,Kugelman Fire,45.0,False,0.0,89.6,59.0,2016.0,8.0
434,Ventura,2016-07-01T14:00:00Z,2016-07-01T19:50:00Z,"off Hwy 118 at Rocky Peak Rd, NE Simi Valley",34.27619,-118.63264,Kuehner Fire,45.0,False,0.0,86.0,57.3,2016.0,7.0
435,Tehama,2016-06-21T10:26:00Z,2016-06-21T13:00:00Z,"off Paskenta Rd & Boggs and Chaplin Rd, 18 miles west of Corning",39.93965,-122.40142,Paskenta Fire,43.0,False,1.21,86.9,58.6,2016.0,6.0
436,Sacramento,2016-09-11T11:25:00Z,2016-09-12T19:00:00Z,"off of Boys Ranch Road and Scott Road, northwest of Rancho Murieta",38.558,-121.1309,Boys Fire,40.0,False,0.0,89.6,56.3,2016.0,9.0
437,Contra Costa,2016-07-24T16:30:00Z,2016-07-24T19:00:00Z,"Cummings Skyway & Franklin Canyon, 6 miles southeast of Rodeo",38.01264,-122.1885,Franklin Fire,40.0,False,0.0,86.6,57.8,2016.0,7.0
438,Nevada,2016-09-07T15:09:00Z,1969-12-31T16:00:00Z,west of Fordyce Lake near Soda Springs ,39.39051,-120.51887,Phoenix Fire,38.0,False,0.04,78.9,48.6,2016.0,9.0
439,Madera,2016-07-29T17:55:00Z,2016-07-31T18:55:00Z,"Off Mammoth Pool Rd & Douglas Ranger Station Rd, east of North Fork",37.24006,-119.4741,Fork Fire,38.0,False,0.02,91.0,58.6,2016.0,7.0
440,Mendocino,2016-08-30T13:35:00Z,2016-08-31T07:15:00Z,"off Mina Rd & Trinity County Line, 12 miles northeast of Covelo",39.8748511,-123.4267011,Mina Fire,36.0,False,0.01,84.6,54.0,2016.0,8.0
441,Lake,2016-08-09T18:50:00Z,2016-08-10T17:00:00Z,"Berryessa Knoxville Rd & East Side Rd, north of Lake Berryessa",38.68403,-122.26015,Knoxville Fire,36.0,False,0.0,89.6,59.0,2016.0,8.0
442,San Diego,2016-08-10T09:14:00Z,2016-08-11T18:30:00Z,"I-15 & Lawrence Welk Drive, Gopher Canyon",33.22558,-117.14547,Gopher Fire,35.0,False,0.0,91.7,63.6,2016.0,8.0
443,Shasta,2016-08-09T12:14:00Z,2016-08-10T17:00:00Z,"Near Iron Mountain Road, south of Keswick ",40.61213,-122.47091,Mountain Fire,35.0,False,0.01,92.5,57.9,2016.0,8.0
444,Calaveras,2016-07-12T15:19:00Z,2016-07-13T19:00:00Z,"off Stagecoach Rd and Hwy 4, south of Copperopolis",37.96311,-120.67335,Stagecoach Fire,35.0,False,0.0,92.3,59.5,2016.0,7.0
445,Calaveras,2016-06-27T18:00:00Z,2016-06-30T07:00:00Z,"off Campo Seco and Chili Camp Road, near Burson ",38.22017,-120.8678,Campo Fire,33.0,False,0.01,88.1,56.2,2016.0,6.0
446,Siskiyou,2016-09-12T16:28:00Z,2016-09-13T18:30:00Z,"off of Moffett Creek Rd and Luce Gulch Rd, northeast of Fort Jones",41.6314,-122.7933,Moffett Fire,32.0,False,0.08,75.3,44.9,2016.0,9.0
447,Tuolumne,2016-07-30T17:25:00Z,2016-08-01T08:05:00Z,"Off Frymire Rd & Morrison Rd, east of Oakdale",37.81434,-120.69521,Frymire Fire,32.0,False,0.04,83.6,53.6,2016.0,7.0
448,Sacramento,2016-06-03T16:57:00Z,2016-06-03T19:55:00Z,off Highway 104 and Clay East Road near Herald,38.3131,-121.06452,Clay Fire,32.0,False,0.0,93.0,59.0,2016.0,6.0
449,Butte,2016-09-16T23:28:00Z,2016-09-19T18:30:00Z,"Off of Old Chico Canyon, west of Forest Ranch",39.8851,-121.6998,Old Fire,30.0,False,0.01,87.4,56.0,2016.0,9.0
450,Inyo,2016-07-01T12:56:00Z,2016-07-02T20:00:00Z,"Whitney Portal Rd. and OlivasRanch Rd., 3 miles West of Lone Pine",36.58972,-118.15589,Lone Pine Fire,30.0,False,0.11,98.6,69.6,2016.0,7.0
451,San Benito,2016-06-03T17:39:00Z,2016-06-03T17:30:00Z,"off Hidden Valley Rd & Cienega Rd, southwest of Hollister ",36.80296,-121.40304,Hidden Fire,30.0,False,0.0,87.7,56.4,2016.0,6.0
452,Butte,2016-05-29T16:51:00Z,2016-05-29T19:53:00Z,Hwy 70 between Clark Rd and Wheelock Rd,39.624017,-121.595093,70 Fire,30.0,True,0.99,78.2,52.0,2016.0,5.0
453,Merced,2016-04-24T11:10:00Z,2016-04-24T15:30:00Z,"I-5 & Taglio Road, east of Gustine",37.2171,-121.08036,Taglio Fire,30.0,False,1.79,75.4,50.3,2016.0,4.0
454,San Diego,2016-11-13T11:14:00Z,2016-11-14T18:00:00Z,Off Gopher Canyon & Interstate 15,33.254355,-117.158475,Gopher Fire,28.0,False,1.17,73.5,48.0,2016.0,11.0
455,San Diego,2016-07-22T14:47:00Z,2016-07-24T14:30:00Z,"off Highway 67 & Rockhouse Road, near Ramona",33.00056,-116.9571,Rock Fire,28.0,True,0.0,92.4,63.9,2016.0,7.0
456,Amador,2016-08-05T13:49:00Z,2016-08-06T10:06:00Z,"off of Deer Ridge Lane and Buena Vista Road, north of Valley Springs ",38.2581,-120.8657,Deer Fire,26.0,True,0.02,91.4,60.0,2016.0,8.0
457,Siskiyou,2016-07-19T14:09:00Z,2016-07-20T09:00:00Z,"Hwy 5 at Bailey Hill, 2 mi southeast of Hilt",41.96191,-122.59328,Bailey Fire,26.0,False,0.2,82.6,51.5,2016.0,7.0
458,Santa Clara,2016-09-01T14:36:00Z,2016-09-02T06:55:00Z,"Off Oak Glen Ave, 2 miles west of Morgan Hill",37.11831,-121.69784,Oak Fire,25.0,False,0.0,81.6,54.2,2016.0,9.0
459,Santa Clara,2016-08-12T16:00:00Z,2016-08-14T19:50:00Z,off Uvas Rd & Watsonville Rd. west of Morgan Hill,37.06531,-121.68577,Oak Fire,25.0,False,0.02,83.9,58.0,2016.0,8.0
460,El Dorado,2016-06-03T12:41:00Z,2016-06-04T15:30:00Z,off Mount Aukum Road & Grizzly Flat Road,38.64107,-120.6955,Aukum Fire,25.0,True,0.03,81.7,53.5,2016.0,6.0
461,Monterey,2016-05-12T14:13:00Z,2016-05-12T20:45:00Z,"Bryson-Hesperia Rd & Interlake Rd, west of Bradley ",35.8378273,-121.0381507,Bryson Fire,25.0,False,0.24,74.7,47.3,2016.0,5.0
462,Shasta,2016-06-11T16:02:00Z,2016-06-12T15:00:00Z,near Keswick Dam Road x Iron Mountain Road N/W of Redding,40.61388,-122.46777,Keswick Fire,24.0,False,1.67,84.3,53.7,2016.0,6.0
463,Humboldt,2016-08-11T14:57:00Z,2016-08-16T08:45:00Z,"Community of Stafford, 7 miles south of Fortuna",40.4572,-124.05804,Stafford Fire,23.0,False,0.01,82.6,54.2,2016.0,8.0
464,Siskiyou,2016-07-21T20:30:00Z,2016-07-22T12:00:00Z,"Table Rock Rd & Harry Cash Rd, Montague",41.71847,-122.36924,Table Fire,23.0,False,0.2,82.6,51.5,2016.0,7.0
465,Humboldt,2016-08-12T17:23:00Z,2016-08-19T08:30:00Z,Three Creeks Summit and Bair Rd. 8 miles west of Willow Creek,40.9878,-123.77832,Summit Fire,21.0,False,0.01,82.6,54.2,2016.0,8.0
466,San Bernardino,2016-09-03T21:51:00Z,2016-09-04T18:55:00Z,Off I-15 Between Kenwood and Blue Cut in the Cajon Pass,34.25858,-117.4415,Ken Fire,20.0,False,0.18,90.4,64.3,2016.0,9.0
467,Lake,2016-08-30T16:54:00Z,2016-08-31T07:05:00Z,"Off Hwy 29 & Mockingbird Lane, Upper Lake",39.1408865,-122.9148951,Mockingbird Fire,20.0,False,0.0,89.6,59.0,2016.0,8.0
468,Ventura,2016-07-11T12:58:00Z,2016-07-12T10:30:00Z,"off Volcan Mountain, north of Julian",33.11645,-116.58542,Shelter Fire,15.0,False,0.0,86.0,57.3,2016.0,7.0
469,Tulare,2016-10-20T17:00:00Z,2016-12-19T13:30:00Z,Jacobson Drainage in the Golden Trout Wilderness,36.217,-118.551,Jacobson Fire,10.0,False,1.29,68.4,43.7,2016.0,10.0
470,Alpine,2016-08-18T12:05:00Z,2016-08-30T12:05:00Z,Mokelumne Wilderness,38.57554,-120.00606,Mokelumne Fire,0.0,False,0.12,76.5,48.9,2016.0,8.0
471,San Luis Obispo,2016-06-04T17:46:00Z,2016-06-19T08:30:00Z,Off Soda Lake Road north of Cuyama,35.01382,-119.58206,Soda Fire,0.0,False,0.0,89.0,54.7,2016.0,6.0
472,Tulare,2016-06-01T15:35:00Z,2016-06-19T18:00:00Z,15 miles northeast of Kernville,35.84883,-118.08591,Chimney Fire,0.0,False,0.15,84.1,55.6,2016.0,6.0
473,Los Angeles,2016-04-19T13:09:00Z,2016-04-19T15:30:00Z,off northbound Interstate 5 at Gorman Creek,34.6888731,-118.7892593,Gorman Fire,0.0,False,0.43,72.6,49.0,2016.0,4.0
474,Santa Barbara,2017-12-04T18:28:00Z,2019-03-14T11:24:00Z,"Hwy 150 and Hwy 126, north of Santa Paula ",34.41521,-119.09124,Thomas Fire,281893.0,True,0.02,68.0,39.2,2017.0,12.0
475,Ventura,2017-12-04T18:28:00Z,2019-03-14T11:24:00Z,"Hwy 150 and Hwy 126, north of Santa Paula ",34.41521,-119.09124,Thomas Fire,281893.0,True,0.01,67.4,38.1,2017.0,12.0
476,Lassen,2017-07-11T14:15:00Z,2018-01-09T11:52:00Z,"off Hwy 395 and Cowboy Joe Rd, 3 miles north of Doyle",40.07045,-120.14013,Long Valley Fire,83733.0,False,0.16,87.7,52.4,2017.0,7.0
477,Mariposa,2017-07-16T15:56:00Z,2018-01-09T11:57:00Z,"Detwiler Rd and Hunters Valley Rd, 2 miles east of Lake McClure",37.61757,-120.21321,Detwiler Fire,81826.0,True,0.0,92.3,60.4,2017.0,7.0
478,Siskiyou,2017-08-15T07:55:00Z,2018-01-09T12:43:00Z,"5 miles W of Happy Camp, CA",41.841,-123.474,Eclipse Complex,78698.0,False,0.46,87.1,56.2,2017.0,8.0
479,Napa,2017-10-08T22:00:00Z,2018-02-09T09:30:00Z,"Hwy 12, north of Glen Ellen",38.4041,-122.5209,Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),56556.0,True,0.21,79.8,48.8,2017.0,10.0
480,Sonoma,2017-10-08T22:00:00Z,2018-02-09T09:30:00Z,"Hwy 12, north of Glen Ellen",38.4041,-122.5209,Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),56556.0,True,0.44,77.3,48.5,2017.0,10.0
481,Napa,2017-10-08T21:52:00Z,2018-02-09T09:37:00Z,"Off of Altas Peak Rd, south of Lake Berryessa",38.39206,-122.24367,Atlas Fire (Southern LNU Complex),51624.0,True,0.21,79.8,48.8,2017.0,10.0
482,Solano,2017-10-08T21:52:00Z,2018-02-09T09:37:00Z,"Off of Altas Peak Rd, south of Lake Berryessa",38.39206,-122.24367,Atlas Fire (Southern LNU Complex),51624.0,True,0.17,80.0,49.7,2017.0,10.0
483,Kings,2017-07-09T15:10:00Z,2018-01-09T11:51:00Z,"Tar Canyon Road, near Avenal",35.93273,-120.20014,Garza Fire,48889.0,True,0.0,100.9,68.6,2017.0,7.0
484,Siskiyou,2017-08-14T14:00:00Z,2018-01-09T12:42:00Z,"17 miles east of Cave Junction, Oregon",42.039,-123.218,Miller Complex,39715.0,False,0.46,87.1,56.2,2017.0,8.0
485,Napa,2017-10-08T21:45:00Z,2018-02-09T09:27:00Z,"off of Hwy 128 and Bennett Ln, Calistoga",38.60895,-122.62879,Tubbs Fire (Central LNU Complex),36807.0,True,0.21,79.8,48.8,2017.0,10.0
486,Sonoma,2017-10-08T21:45:00Z,2018-02-09T09:27:00Z,"off of Hwy 128 and Bennett Ln, Calistoga",38.60895,-122.62879,Tubbs Fire (Central LNU Complex),36807.0,True,0.44,77.3,48.5,2017.0,10.0
487,Tulare,2017-08-29T08:29:00Z,2018-01-09T12:47:00Z,"Highway 190, east of Springville",36.15356,-118.74103,Pier Fire,36556.0,True,0.33,86.8,61.1,2017.0,8.0
488,Mendocino,2017-10-08T23:36:00Z,2018-02-09T08:56:00Z,"North of Hwy 20, west of Mendocino National Forest, south of Black Bart",39.24873,-123.16635,Redwood Valley Fire (Mendocino Lake Complex),36523.0,True,0.86,73.8,44.6,2017.0,10.0
489,San Luis Obispo,2017-07-06T15:44:00Z,2018-01-09T11:46:00Z,Off Highway 166 near Twitchell Reservoir,35.0179,-120.3223,Alamo Fire,28687.0,True,0.0,92.4,59.6,2017.0,7.0
490,Siskiyou,2017-07-26T18:00:00Z,2018-01-09T12:07:00Z,"About 18 miles northwest of Orleans, California in Siskiyou County.",41.59,-123.501,Orleans Complex,27276.0,False,0.06,87.3,54.8,2017.0,7.0
491,Trinity,2017-08-30T18:00:00Z,2018-01-09T12:49:00Z,"Hwy 299 near town of Helena, Junction City",40.76025,-123.10003,Helena - Fork Fire,21846.0,False,0.25,92.3,57.3,2017.0,8.0
492,Tulare,2017-09-27T14:00:00Z,2018-01-09T13:27:00Z,Golden Trout Wilderness near Lion Meadow.,36.27138,-118.48555,Lion Fire,18900.0,False,0.58,77.5,52.8,2017.0,9.0
493,Lassen,2017-08-30T08:30:00Z,2018-01-09T12:48:00Z,23 miles east-southeast of Madeline,40.69573,-119.93499,R-4 Fire,18618.0,False,0.79,86.6,53.6,2017.0,8.0
494,Santa Barbara,2017-07-08T13:43:00Z,2018-01-09T11:49:00Z,"Lake Cachuma area, south of Hwy 154",34.55096,-119.9494,Whittier Fire,18430.0,False,0.01,85.2,58.6,2017.0,7.0
495,Sonoma,2017-10-09T03:30:00Z,2018-02-09T09:32:00Z,"off of Pocket Ranch Rd and Ridge Ranch Rd, Geyserville ",38.76549,-122.90939,Pocket Fire (Central LNU Complex),17357.0,True,0.44,77.3,48.5,2017.0,10.0
496,Los Angeles,2017-12-05T03:44:00Z,2018-08-06T10:52:00Z,"Kagel Canyon Rd, north of Lake View terrace ",34.31283,-118.35863,Creek Fire,15619.0,True,0.01,67.4,42.7,2017.0,12.0
497,Trinity,2017-09-12T17:42:00Z,2018-01-09T13:21:00Z,"Black Rock Mountain, North Portion of Yolla BollyWilderness",40.2275,-123.03583,Buck Fire,13417.0,False,0.85,79.8,51.6,2017.0,9.0
498,Madera,2017-08-29T12:19:00Z,2018-01-09T12:46:00Z,"Highway 41, south of Fish Camp",37.44663,-119.64622,Railroad Fire,12407.0,False,0.44,90.2,61.4,2017.0,8.0
499,Fresno,2017-05-18T13:11:00Z,2018-01-09T10:04:00Z,"off of Hwy 198 & Fire Stone, south of Coalinga",36.12089,-120.37116,Elm Fire,10343.0,True,0.51,73.7,46.7,2017.0,5.0
500,Yuba,2017-10-08T23:03:00Z,2018-02-09T09:39:00Z,"Cascade Way and Marysville Rd, north of Collins Lake ",39.32198,-121.4021,Cascade Fire (Wind Complex),9989.0,True,0.6,79.4,48.5,2017.0,10.0
501,Orange,2017-10-09T09:51:00Z,2018-04-05T10:47:00Z,"Off of East Santa Ana Canyon Rd, west of Gypsum Canyon",33.87041,-117.70975,Canyon 2 Fire,9217.0,True,0.0,83.3,60.3,2017.0,10.0
502,Mono,2017-08-29T15:15:00Z,2018-01-09T12:47:00Z,"West of Hwy 395, north of Hwy 89, south of Topaz",38.655,-119.55425,Slinkard Fire,8925.0,False,0.91,79.1,49.4,2017.0,8.0
503,Butte,2017-10-08T21:45:00Z,2018-02-09T09:48:00Z,"off Cherokee Road and Zonalea Lane, Oroville ",39.62496,-121.52966,Cherokee Fire,8417.0,True,0.7,78.4,47.8,2017.0,10.0
504,Mariposa,2017-08-01T08:45:00Z,2018-01-09T12:16:00Z,1 Mile South of Bridalveil Campground in Yosemite,37.644,-119.618,Empire Fire,8094.0,False,0.5,90.0,60.6,2017.0,8.0
505,Modoc,2017-08-03T14:00:00Z,2018-01-09T12:18:00Z,southwest of Cedarville,41.466,-120.321,Parker 2 Fire,7697.0,False,0.49,86.9,52.8,2017.0,8.0
506,Los Angeles,2017-09-01T13:26:00Z,2018-01-09T12:49:00Z,"Lowell Ave and I-210, Verdugo Hills, Los Angeles City",34.22957,-118.2674,La Tuna Fire ,7194.0,False,0.24,83.2,59.2,2017.0,9.0
507,Mariposa,2017-08-14T14:28:00Z,2018-01-09T12:39:00Z,"off Wawona Rd, east of Wawona",37.538,-119.598,South Fork Fire,7000.0,False,0.5,90.0,60.6,2017.0,8.0
508,Riverside,2017-06-26T15:10:00Z,2018-01-09T11:08:00Z,"Hwy 79 North, Lambs Canyon south of Dump Road, south of Beaumont",33.530045,-116.594422,Manzanita Fire,6309.0,False,0.0,99.6,68.6,2017.0,6.0
509,Butte,2017-10-09T00:57:00Z,2018-02-09T09:50:00Z,"La Porte Rd and Oro Bangor Hwy, Bangor",39.39455,-121.40613,LaPorte Fire (Wind Complex),6151.0,True,0.7,78.4,47.8,2017.0,10.0
